lane_name,origin_city,destination_city,avg_fuel_cost_per_mile,optimal_departure_time,avg_mpg,best_case_mpg,worst_case_mpg,potential_savings_per_trip,annual_savings_estimate,recommendation
Chicago-Atlanta,Chicago,Atlanta,0.6532,01:00:00,5.77,7.17,4.4,118.1,5905.06,Depart at 1:00 on Sunday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Los Angeles-Phoenix,Los Angeles,Phoenix,0.7635,13:00:00,5.91,7.01,4.49,98.51,4925.67,Depart at 13:00 on Wednesday for optimal fuel efficiency. Expect Clear conditions for best MPG.
Chicago-Atlanta,Chicago,Atlanta,0.6094,00:00:00,6.11,7.01,4.81,78.89,3944.6,Depart at 0:00 on Sunday    for optimal fuel efficiency. Expect Partly Cloudy conditions for best MPG.
Chicago-Atlanta,Chicago,Atlanta,0.6182,06:00:00,6.08,7.15,4.97,78.24,3911.89,Depart at 6:00 on Tuesday   for optimal fuel efficiency. Expect Clear conditions for best MPG.
Phoenix-Las Vegas,Phoenix,Las Vegas,0.7377,03:00:00,6.06,7.03,4.83,71.34,3566.9,Depart at 3:00 on Saturday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Phoenix-Las Vegas,Phoenix,Las Vegas,0.751,00:00:00,5.9,6.82,5.16,61.94,3096.77,Depart at 0:00 on Friday    for optimal fuel efficiency. Expect Partly Cloudy conditions for best MPG.
Denver-Salt Lake City,Denver,Salt Lake City,0.6258,22:00:00,5.98,7.18,4.71,61.13,3056.48,Depart at 22:00 on Monday    for optimal fuel efficiency. Expect Partly Cloudy conditions for best MPG.
Denver-Salt Lake City,Denver,Salt Lake City,0.6205,22:00:00,6.01,6.97,4.47,55.71,2785.47,Depart at 22:00 on Sunday    for optimal fuel efficiency. Expect Cloudy conditions for best MPG.
Denver-Salt Lake City,Denver,Salt Lake City,0.6286,02:00:00,5.97,6.93,5.17,50.49,2524.48,Depart at 2:00 on Friday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Dallas-Houston,Dallas,Houston,0.7047,14:00:00,5.78,6.62,4.61,45.32,2265.97,Depart at 14:00 on Tuesday   for optimal fuel efficiency. Expect Clear conditions for best MPG.
Miami-Jacksonville,Miami,Jacksonville,0.6602,10:00:00,5.77,6.81,4.62,44.16,2208.0,Depart at 10:00 on Saturday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Los Angeles-Phoenix,Los Angeles,Phoenix,0.7628,22:00:00,5.94,6.89,4.93,43.04,2151.96,Depart at 22:00 on Thursday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Minneapolis-Milwaukee,Minneapolis,Milwaukee,0.6389,22:00:00,5.89,7.01,4.29,41.86,2092.77,Depart at 22:00 on Thursday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Miami-Jacksonville,Miami,Jacksonville,0.6592,05:00:00,5.78,6.91,4.45,41.64,2082.22,Depart at 5:00 on Wednesday for optimal fuel efficiency. Expect Clear conditions for best MPG.
Dallas-Houston,Dallas,Houston,0.6751,22:00:00,6.26,7.09,5.18,39.4,1969.76,Depart at 22:00 on Tuesday   for optimal fuel efficiency. Expect Clear conditions for best MPG.
Los Angeles-Phoenix,Los Angeles,Phoenix,0.7642,22:00:00,5.99,6.79,4.59,37.82,1890.97,Depart at 22:00 on Sunday    for optimal fuel efficiency. Expect Partly Cloudy conditions for best MPG.
Dallas-Houston,Dallas,Houston,0.6301,08:00:00,6.38,7.08,5.75,36.34,1817.03,Depart at 8:00 on Friday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Phoenix-Las Vegas,Phoenix,Las Vegas,0.7686,12:00:00,5.93,6.9,4.61,36.09,1804.55,Depart at 12:00 on Friday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Minneapolis-Milwaukee,Minneapolis,Milwaukee,0.6359,07:00:00,5.91,7.05,4.6,35.86,1792.92,Depart at 7:00 on Friday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Miami-Jacksonville,Miami,Jacksonville,0.6535,19:00:00,5.8,6.62,4.73,31.32,1566.08,Depart at 19:00 on Friday    for optimal fuel efficiency. Expect Cloudy conditions for best MPG.
Seattle-Portland,Seattle,Portland,0.7497,07:00:00,5.85,6.96,4.72,29.7,1485.16,Depart at 7:00 on Tuesday   for optimal fuel efficiency. Expect Clear conditions for best MPG.
Kansas City-St Louis,Kansas City,St Louis,0.6087,17:00:00,6.13,7.16,4.81,29.66,1482.78,Depart at 17:00 on Saturday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Minneapolis-Milwaukee,Minneapolis,Milwaukee,0.6389,16:00:00,5.9,6.74,4.27,29.53,1476.65,Depart at 16:00 on Sunday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
Kansas City-St Louis,Kansas City,St Louis,0.6522,11:00:00,5.75,7.02,4.84,29.3,1465.01,Depart at 11:00 on Thursday  for optimal fuel efficiency. Expect Clear conditions for best MPG.
Kansas City-St Louis,Kansas City,St Louis,0.6332,09:00:00,5.88,7.11,4.38,27.55,1377.69,Depart at 9:00 on Sunday    for optimal fuel efficiency. Expect Cloudy conditions for best MPG.
Seattle-Portland,Seattle,Portland,0.7201,17:00:00,6.14,6.82,4.88,27.28,1364.25,Depart at 17:00 on Wednesday for optimal fuel efficiency. Expect Partly Cloudy conditions for best MPG.
Boston-New York,Boston,New York,0.674,14:00:00,5.64,6.8,4.75,27.17,1358.62,Depart at 14:00 on Sunday    for optimal fuel efficiency. Expect Clear conditions for best MPG.
