lane_name,origin_city,destination_city,baseline_distance_miles,departure_date,departure_hour,day_of_week,actual_miles_driven,fuel_consumed_gallons,fuel_cost_total,mpg_achieved,cost_per_mile,drive_time_hours,avg_speed_mph,weather_conditions,delay_hours,load_weight_lbs,price_per_gallon
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-24,12,Sunday   ,539.53,99.85,375.13,5.4,0.6953,8.29,65.06,Clear,0.63,36845,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-29,1,Monday   ,257.71,41.52,154.89,6.21,0.601,4.04,63.75,Clear,2.2,40808,3.731
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-07,8,Thursday ,371.35,60.3,273.78,6.16,0.7373,5.58,66.49,Clear,1.49,35312,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-21,7,Sunday   ,248.9,40.26,149.38,6.18,0.6002,4.13,60.21,Clear,0.39,40825,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-25,7,Monday   ,80.89,12.57,61.27,6.44,0.7574,1.24,65.05,Cloudy,0.85,34592,4.873
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-18,19,Friday   ,90.98,16.97,76.35,5.36,0.8392,1.4,64.85,Snow,0.08,26268,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-10,8,Wednesday,333.89,56.16,210.81,5.95,0.6314,5.12,65.25,Clear,0.72,32351,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-12,8,Friday   ,217.8,41.44,155.57,5.26,0.7143,3.38,64.44,Rain,1.51,39705,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-17,8,Thursday ,368.76,54.74,246.2,6.74,0.6676,5.79,63.64,Cloudy,1.83,36892,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-22,0,Tuesday  ,549.86,82.38,310.57,6.67,0.5648,9.13,60.21,Clear,0.52,26492,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-21,0,Thursday ,352.29,71.68,265.36,4.91,0.7532,5.53,63.67,Snow,1.54,34586,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-06,18,Monday   ,88.81,16.43,73.93,5.41,0.8325,1.4,63.36,Fog,1.11,30153,4.499
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-05,8,Tuesday  ,79.76,13.49,66.74,5.91,0.8368,1.21,66.02,Partly Cloudy,0.41,43535,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-20,13,Monday   ,175.61,27.01,96.25,6.5,0.5481,2.77,63.49,Cloudy,1.74,32094,3.564
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-29,4,Tuesday  ,345.37,59.03,223.96,5.85,0.6485,5.35,64.5,Cloudy,1.32,44309,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-21,8,Tuesday  ,93.85,17.55,64.48,5.35,0.6871,1.61,58.42,Snow,2.15,30546,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-13,11,Wednesday,301.7,54.32,244.0,5.55,0.8088,5.14,58.65,Clear,1.33,32276,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-17,8,Wednesday,208.07,33.58,124.59,6.2,0.5988,3.48,59.82,Partly Cloudy,2.04,32181,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-10,5,Sunday   ,330.56,60.74,230.31,5.44,0.6967,5.27,62.72,Rain,0.44,43861,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-11,8,Thursday ,331.03,66.37,249.15,4.99,0.7527,5.64,58.74,Snow,2.02,26549,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-29,23,Monday   ,81.05,13.52,46.15,5.99,0.5694,1.36,59.62,Fog,0.49,38286,3.413
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-29,22,Monday   ,90.06,12.8,58.03,7.04,0.6443,1.48,60.78,Clear,2.33,30618,4.532
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-16,9,Thursday ,250.12,48.24,173.94,5.18,0.6954,3.81,65.68,Clear,0.25,43332,
Dallas-Houston,Dallas,Houston,239.0,2025-07-11,8,Friday   ,241.84,34.17,115.6,7.08,0.478,3.75,64.5,Clear,0.71,28934,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-12,14,Friday   ,390.68,58.11,263.42,6.72,0.6743,5.98,65.31,Cloudy,2.32,35597,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-08,15,Tuesday  ,170.31,33.88,126.48,5.03,0.7426,2.94,58.03,Snow,0.81,30014,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-17,17,Wednesday,82.98,14.77,55.37,5.62,0.6673,1.25,66.48,Cloudy,2.45,43224,
Boston-New York,Boston,New York,215.0,2025-07-28,1,Monday   ,217.73,35.3,134.57,6.17,0.6181,3.54,61.5,Clear,1.91,26793,3.812
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-06-27,2,Friday   ,539.56,77.87,287.26,6.93,0.5324,8.9,60.63,Clear,0.08,31586,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-30,0,Tuesday  ,305.25,44.85,203.24,6.81,0.6658,4.8,63.53,Cloudy,0.17,28268,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-17,10,Friday   ,357.24,57.05,212.29,6.26,0.5943,5.84,61.16,Partly Cloudy,0.01,27183,
Seattle-Portland,Seattle,Portland,173.0,2025-08-19,5,Tuesday  ,174.93,32.76,145.95,5.34,0.8343,2.62,66.87,Fog,1.25,34547,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-29,8,Friday   ,205.5,33.1,123.34,6.21,0.6002,3.17,64.82,Clear,2.46,44254,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-15,1,Monday   ,515.33,77.31,287.75,6.67,0.5584,8.83,58.33,Clear,1.8,32427,3.722
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-09-06,12,Saturday ,39.37,5.68,21.29,6.93,0.5408,0.63,62.53,Partly Cloudy,1.3,36522,
Memphis-Nashville,Memphis,Nashville,211.0,2025-06-23,7,Monday   ,216.7,32.98,115.44,6.57,0.5327,3.49,62.02,Clear,0.37,44576,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-25,1,Saturday ,250.35,43.33,154.43,5.78,0.6169,4.21,59.42,Clear,0.64,43543,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-24,5,Wednesday,360.71,59.51,222.88,6.06,0.6179,6.15,58.63,Partly Cloudy,0.48,36194,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-12,20,Saturday ,116.11,18.55,69.24,6.26,0.5963,1.93,60.15,Clear,0.1,35823,
Memphis-Nashville,Memphis,Nashville,211.0,2025-08-15,23,Friday   ,212.71,34.78,130.32,6.12,0.6127,3.35,63.52,Clear,2.42,42081,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-25,8,Monday   ,380.58,65.77,293.38,5.79,0.7709,6.16,61.74,Rain,1.2,37293,4.461
Dallas-Houston,Dallas,Houston,239.0,2025-10-02,13,Thursday ,240.46,41.06,140.14,5.86,0.5828,3.97,60.63,Cloudy,2.38,44607,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-25,23,Monday   ,168.59,28.56,105.61,5.9,0.6264,2.57,65.62,Partly Cloudy,2.34,37157,3.698
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-08,10,Tuesday  ,216.81,39.62,147.92,5.47,0.6823,3.71,58.45,Fog,0.27,33839,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-05,9,Friday   ,88.72,17.42,78.12,5.09,0.8805,1.4,63.15,Snow,0.38,27237,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-24,10,Wednesday,208.29,30.5,113.79,6.83,0.5463,3.51,59.26,Partly Cloudy,2.09,26369,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-27,10,Sunday   ,85.78,13.8,52.72,6.22,0.6146,1.47,58.45,Partly Cloudy,0.69,42014,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-04,1,Thursday ,88.19,14.43,54.11,6.11,0.6136,1.5,58.91,Cloudy,2.14,29314,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-08,8,Friday   ,358.7,61.15,232.81,5.87,0.649,5.57,64.38,Clear,2.26,32554,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-09-23,18,Tuesday  ,208.14,35.14,131.61,5.92,0.6323,3.36,61.9,Clear,1.04,44510,
Seattle-Portland,Seattle,Portland,173.0,2025-09-08,7,Monday   ,176.5,26.79,121.45,6.59,0.6881,2.95,59.9,Clear,0.33,37331,4.533
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-15,7,Monday   ,113.18,17.54,65.08,6.45,0.575,1.81,62.44,Clear,1.74,30232,3.71
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-15,12,Wednesday,342.84,72.52,269.84,4.73,0.7871,5.71,60.0,Snow,2.21,31404,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-06-25,10,Wednesday,349.8,61.14,214.0,5.72,0.6118,5.77,60.59,Cloudy,1.16,39655,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-01,12,Friday   ,40.6,6.52,24.86,6.23,0.6123,0.62,65.25,Clear,0.64,36859,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-06-27,18,Friday   ,300.33,46.55,162.92,6.45,0.5425,4.81,62.44,Partly Cloudy,1.68,25427,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-05,5,Sunday   ,166.25,32.33,120.61,5.14,0.7255,2.6,63.83,Snow,2.2,33929,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-24,19,Wednesday,115.77,18.77,70.03,6.17,0.6049,1.87,62.03,Rain,1.31,41563,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-25,22,Thursday ,299.23,50.24,227.3,5.96,0.7596,4.71,63.47,Clear,0.77,43003,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-07-10,12,Thursday ,40.21,6.97,26.25,5.77,0.6528,0.67,59.7,Clear,0.89,44109,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-15,20,Wednesday,208.35,35.54,128.17,5.86,0.6152,3.5,59.6,Clear,1.43,39284,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-09-16,7,Tuesday  ,204.24,43.63,163.53,4.68,0.8007,3.21,63.7,Snow,1.83,26725,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-05,11,Sunday   ,348.26,58.45,219.21,5.96,0.6294,5.54,62.84,Clear,0.78,41306,
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-08,7,Monday   ,99.26,14.55,54.88,6.82,0.5529,1.62,61.16,Clear,0.63,32538,3.772
